_id,COD. INSCRIPCIÓN,NOMBRE,MODALIDAD,CATEGORIA,DIRECCIÓN,LOCALIDAD,MUNICIPIO,ZONA,PLAZAS,FECHA DE INSCRIPCION
45,UH000592            ,Avenida,Hotel,3 Estrellas,Zaragoza 5 ,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,48,1991-08-21T00:00:00
46,UHS00013            ,Ayestarán I,Hostal,HsG,Aralar 22 ,LEKUNBERRI,LEKUNBERRI                                                                                          ,Pirineos,136,1969-10-17T00:00:00
47,UHSR0014            ,Ayestarán II,Hostal,HsRural,Aralar 27 ,LEKUNBERRI,LEKUNBERRI                                                                                          ,Pirineos,36,1948-05-31T00:00:00
48,UH000854            ,Balneario de Elgorriaga,Hotel,3 Estrellas,"Errotaldea, s/n 0 ",ELGORRIAGA,ELGORRIAGA                                                                                          ,Pirineos,135,2009-11-25T00:00:00
49,UH000008            ,Balneario Gustavo Adolfo Bécquer,Hotel,3 Estrellas,Extramuros 0 s/n,FITERO,FITERO                                                                                              ,La Ribera,322,1948-02-11T00:00:00
50,UH000079            ,Balneario Virrey Palafox,Hotel,3 Estrellas,Extramuros 0 s/n,FITERO,FITERO                                                                                              ,La Ribera,119,1948-02-11T00:00:00
51,UH000326            ,Baztan,Hotel,3 Estrellas,Pamplona-Francia km.52 0 ,GARTZAIN,BAZTAN                                                                                              ,Pirineos,168,1964-06-27T00:00:00
52,UHS00148            ,Bearán 1,Hostal,HsG,San Nicolás 25 ,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,29,1951-06-30T00:00:00
53,UHS00760            ,Bearan 2,Hostal,HsG,San Nicolás 24 1º Izda,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,12,2003-02-07T00:00:00
54,UPE00905            ,Bed & Breakfast Zaldu,Pensión,P**,Pío Baroja 1 ,ESTELLA-LIZARRA,ESTELLA <> LIZARRA                                                                                  ,Zona Media,8,2014-07-11T00:00:00
55,UH000877            ,Bed4U Pamplona,Hotel,3 Estrellas,"D, PG Ind. Cordovilla 7 ",CORDOVILLA,GALAR                                                                                               ,Cuenca de Pamplona,93,2011-09-20T00:00:00
56,UH000845            ,Bed4U Tudela,Hotel,3 Estrellas, Mañeru (PG. La Barrena) 0 ,TUDELA,TUDELA                                                                                              ,La Ribera,94,2008-11-27T00:00:00
57,UPE00776            ,Benta Berri,Pensión,P*,Roncesvalles 10 4º Izda,ZUBIRI,ESTERIBAR                                                                                           ,Pirineos,6,2004-02-09T00:00:00
58,uh000697            ,Beratxa,Hotel,3 Estrellas,Escuelas Pías 7 ,TAFALLA,TAFALLA                                                                                             ,Zona Media,27,1999-05-26T00:00:00
59,UHR00665            ,Bereau,Hotel rural,2 Estrellas,Bereau Auzoa 2 ,LESAKA,LESAKA                                                                                              ,Pirineos,25,1996-07-08T00:00:00
60,UHS00769            ,Bertiz,Hostal,HsG,San Juan Bautista 16 ,OIEREGI,BERTIZARANA                                                                                         ,Pirineos,18,2004-02-23T00:00:00
61,UHR00602            ,Besaro,Hotel rural,1 Estrella,Irigoien  5 ,IZALZU,IZALZU <> ITZALTZU                                                                                  ,Pirineos,16,1989-02-11T00:00:00
62,UHSR0691            ,Betelu,Hostal,HsRural,Mayor 7 1 dcha.,BETELU,BETELU                                                                                              ,Pirineos,9,1998-08-04T00:00:00
63,UHSR0558            ,Beti-Jai,Hostal,HsRural,Santa Agueda 2 ,AOIZ,AOIZ <> AGOITZ                                                                                      ,Pirineos,35,1983-03-06T00:00:00
64,UHSR0722            ,Bidean,Hostal,HsRural,Mayor 20 ,PUENTE LA REINA,PUENTE LA REINA <> GARES                                                                            ,Zona Media,36,2001-04-25T00:00:00
65,UH000606            ,Blanca de Navarra,Hotel,4 Estrellas,Pio XII 43 ,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,204,1989-12-30T00:00:00
66,UPE00924            ,Buen Camino,Pensión,P*,San Nicolás 27 1º,ESTELLA-LIZARRA,ESTELLA <> LIZARRA                                                                                  ,Zona Media,3,2017-09-06T00:00:00
67,UHS00712            ,Burgalés,Hostal,HsG,Navarra 2 ,MILAGRO,MILAGRO                                                                                             ,La Ribera,12,2000-09-08T00:00:00
68,UHS00006            ,Burguete,Hostal,HsG,San Nicolás 71 S/N,AURITZ/BURGUETE,AURITZ/BURGUETE                                                                                     ,Pirineos,34,1948-09-02T00:00:00
69,UH000614            ,Burlada,Hotel,2 Estrellas,La Fuente 2 ,BURLADA,BURLADA <> BURLATA                                                                                  ,Cuenca de Pamplona,94,1990-11-22T00:00:00
70,UHR00829            ,Camino de las Bardenas,Hotel rural,1 Estrella,De la Noria 4 ,ARGUEDAS,ARGUEDAS                                                                                            ,La Ribera,14,2008-05-14T00:00:00
71,UHS00828            ,Camino del Perdón,Hostal,HsG,Iruzpegia 20 ,UTERGA,UTERGA                                                                                              ,Zona Media,10,2008-04-30T00:00:00
72,UH000805            ,Caracho,Hotel,3 Estrellas,Ombatillo 0 ,CORELLA,CORELLA                                                                                             ,La Ribera,30,2006-12-21T00:00:00
73,UPE00958            ,Carmen Alta,Pensión,P**,Carmen Alta 6 ,TUDELA,TUDELA                                                                                              ,La Ribera,6,2020-12-18T00:00:00
74,UPE00618            ,Casa Armendáriz,Pensión,P**,Navarro Villoslada 19 ,VIANA,VIANA                                                                                               ,Zona Media,13,1991-10-04T00:00:00
75,UH000814            ,Casa Azcona,Hotel,3 Estrellas,Belascoáin 24 ,ZIZUR MAYOR,ZIZUR MAYOR <> ZIZUR NAGUSIA                                                                        ,Cuenca de Pamplona,34,2007-09-28T00:00:00
76,UPE00909            ,Casa Elita,Pensión,P*,Amairu 7 ,LARRASOAÑA,ESTERIBAR                                                                                           ,Pirineos,4,2015-04-28T00:00:00
77,UHSR0631            ,Casa Equiza,Hostal,HsRural,San Lorenzo 25 ,USCARRÉS,GALLUÉS <> GALOZE                                                                                   ,Pirineos,22,1992-12-30T00:00:00
78,UPE00902            ,Casa Etxezuria,Pensión,P**,Elizaldea 60 ,LUZAIDE/VALCARLOS,LUZAIDE/VALCARLOS                                                                                   ,Pirineos,2,2014-06-05T00:00:00
79,UH000748            ,Casa Jacinto,Hotel,1 Estrella,"Mugazuri, parcela c-11 0 ",BURLADA,BURLADA <> BURLATA                                                                                  ,Cuenca de Pamplona,42,2002-06-26T00:00:00
80,UH000955            ,Casa Luisa,Hotel,2 Estrellas,San Lázaro 7 ,AYEGUI,AYEGUI                                                                                              ,Zona Media,29,2020-04-08T00:00:00
81,UHS00952            ,Casa Nahia,Hostal,HsG,Pamplona 9 ,LORCA,YERRI                                                                                               ,Zona Media,14,2020-04-24T00:00:00
82,UPE00132            ,Casa Otano,Pensión,P**,San Nicolas 5 1º,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,23,1948-09-18T00:00:00
83,UHSR0891            ,Casa Otsoa,Hostal,HsRural,Rotxapea 4 ,EZCÁROZ,EZCÁROZ <> EZKAROZE                                                                                 ,Pirineos,16,2012-10-30T00:00:00
84,UPE00965            ,Casa Otxotenea,Pensión,P*,Albistur 36 ,LESAKA,LESAKA                                                                                              ,Pirineos,3,2021-07-28T00:00:00
85,UHSR0921            ,Casa Palacio Hernández,Hostal,HsRural,San Felices  5 ,VIANA,VIANA                                                                                               ,Zona Media,10,2017-05-31T00:00:00
86,UHSR0315            ,Casa Perico,Hostal,HsRural,Berbinzana 8 ,LARRAGA,LARRAGA                                                                                             ,Zona Media,25,1970-04-05T00:00:00
87,UHSR0183            ,Casa Sabina,Hostal,HsRural,Pamplona-Francia km. 48 0 ,ORREAGA/RONCESVALLES,ORREAGA/RONCESVALLES                                                                                ,Pirineos,8,1969-09-13T00:00:00
88,UPE00932            ,Casa Santamaría,Pensión,P*,Mayor 28 ,DONEZTEBE/SANTESTEBAN,DONEZTEBE/SANTESTEBAN                                                                               ,Pirineos,6,2017-12-29T00:00:00
89,UHSR0493            ,Casa Sario,Hostal,HsRural,LLana 11 ,JAURRIETA,JAURRIETA                                                                                           ,Pirineos,13,1977-11-08T00:00:00
90,UPE00849            ,Casa Txarrantxulo,Pensión,P*,Burguiberría 2 ,ISABA,ISABA <> IZABA                                                                                      ,Pirineos,12,2009-05-21T00:00:00
91,UHR00163            ,Casa Zanito,Hotel rural,2 Estrellas,Rua Mayor 16 ,OLITE,OLITE                                                                                               ,Zona Media,32,1959-05-12T00:00:00
92,UH000835            ,"Castillo de Gorraiz, Golf & Spa",Hotel,4 Estrellas,Egüés 78 ,GORRÁIZ,EGÜÉS                                                                                               ,Cuenca de Pamplona,91,2008-07-17T00:00:00
93,UH000789            ,Castillo de Javier,Hotel,1 Estrella,"San Nicolás, 50-52 0 ",PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,22,2005-07-12T00:00:00
94,UH000778            ,Catalonia Las Cañas,Hotel,4 Estrellas,Logroño Mendavia Km. 99 (C. Co 0 ,VIANA,VIANA                                                                                               ,Zona Media,102,2004-10-22T00:00:00
95,UH000826            ,Château Pago de Cirsus,Hotel,4 Estrellas,"Ablitas-Ribaforada, Km 5 0 ",ABLITAS,ABLITAS                                                                                             ,La Ribera,24,2008-04-16T00:00:00
96,UH000753            ,Churrut,Hotel,3 Estrellas,de los Fueros 2 ,BERA,BERA/VERA DE BIDASOA                                                                                ,Pirineos,33,2002-02-09T00:00:00
97,UH000863            ,Ciudad de Corella,Hotel,2 Estrellas,"de Navarra, s/n 0 ",CORELLA,CORELLA                                                                                             ,La Ribera,93,2010-12-07T00:00:00
98,UH000960            ,Ciudadela,Hotel,2 Estrellas,Ciudadela 13 ,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,54,2021-01-28T00:00:00
99,UHS00384            ,Cristina,Hostal,HsG,Baja Navarra 1 1º,ESTELLA-LIZARRA,ESTELLA <> LIZARRA                                                                                  ,Zona Media,19,1969-07-31T00:00:00
100,UH000793            ,Cross Elorz,Hotel,3 Estrellas,Europa 13 ,IMÁRCOAIN,NOÁIN (VALLE DE ELORZ <> /NOAIN (ELORTZIBAR)                                                        ,Cuenca de Pamplona,134,2006-08-02T00:00:00
101,UH000399            ,Delta,Hotel,3 Estrellas,Zaragoza 29 ,TUDELA,TUDELA                                                                                              ,La Ribera,63,1987-07-20T00:00:00
